Team [team_name=Boston Celtics, division_id=Atlantic, conference_id=East]
Team [team_name=Brooklyn Nets, division_id=Atlantic, conference_id=East]
Team [team_name=New York Knicks, division_id=Atlantic, conference_id=East]
Team [team_name=Philadelphia 76ers, division_id=Atlantic, conference_id=East]
Team [team_name=Toronto Raptors, division_id=Atlantic, conference_id=East]
Team [team_name=Chicago Bulls, division_id=Central, conference_id=East]
Team [team_name=Cleveland Cavaliers, division_id=Central, conference_id=East]
Team [team_name=Detroit Pistons, division_id=Central, conference_id=East]
Team [team_name=Indiana Pacers, division_id=Central, conference_id=East]
Team [team_name=Milwaukee Bucks, division_id=Central, conference_id=East]
Team [team_name=Atlanta Hawks, division_id=Southeast, conference_id=East]
Team [team_name=Charlotte Hornets, division_id=Southeast, conference_id=East]
Team [team_name=Miami Heat, division_id=Southeast, conference_id=East]
Team [team_name=Orlando Magic, division_id=Southeast, conference_id=East]
Team [team_name=Washington Wizards, division_id=Southeast, conference_id=East]
Team [team_name=Denver Nuggets, division_id=Northwest, conference_id=West]
Team [team_name=Minnesota Timberwolves, division_id=Northwest, conference_id=West]
Team [team_name=Oklahoma City Thunder, division_id=Northwest, conference_id=West]
Team [team_name=Portland Trail Blazers, division_id=Northwest, conference_id=West]
Team [team_name=Utah Jazz, division_id=Northwest, conference_id=West]
Team [team_name=Golden State Warriors, division_id=Pacific, conference_id=West]
Team [team_name=LA Clippers, division_id=Pacific, conference_id=West]
Team [team_name=Los Angeles Lakers, division_id=Pacific, conference_id=West]
Team [team_name=Phoenix Suns, division_id=Pacific, conference_id=West]
Team [team_name=Sacramento Kings, division_id=Pacific, conference_id=West]
Team [team_name=Dallas Mavericks, division_id=Southwest, conference_id=West]
Team [team_name=Houston Rockets, division_id=Southwest, conference_id=West]
GameInfo [date=Sun Nov 06 00:00:00 EDT 2016, home_team=Los Angeles Lakers, away_team=Phoenix Suns, home_score=119, away_score=108, winner=Home]
GameInfo [date=Mon Nov 07 00:00:00 EST 2016, home_team=Philadelphia 76ers, away_team=Utah Jazz, home_score=84, away_score=109, winner=Away]
GameInfo [date=Mon Nov 07 00:00:00 EST 2016, home_team=Washington Wizards, away_team=Houston Rockets, home_score=106, away_score=114, winner=Away]
GameInfo [date=Mon Nov 07 00:00:00 EST 2016, home_team=Charlotte Hornets, away_team=Indiana Pacers, home_score=122, away_score=100, winner=Home]
GameInfo [date=Mon Nov 07 00:00:00 EST 2016, home_team=Chicago Bulls, away_team=Orlando Magic, home_score=112, away_score=80, winner=Home]
GameInfo [date=Mon Nov 07 00:00:00 EST 2016, home_team=Oklahoma City Thunder, away_team=Miami Heat, home_score=97, away_score=85, winner=Home]
GameInfo [date=Mon Nov 07 00:00:00 EST 2016, home_team=LA Clippers, away_team=Detroit Pistons, home_score=114, away_score=82, winner=Home]
GameInfo [date=Mon Nov 07 00:00:00 EST 2016, home_team=Golden State Warriors, away_team=New Orleans Pelicans, home_score=116, away_score=106, winner=Home]
GameInfo [date=Tue Nov 08 00:00:00 EST 2016, home_team=Cleveland Cavaliers, away_team=Atlanta Hawks, home_score=106, away_score=110, winner=Away]
GameInfo [date=Tue Nov 08 00:00:00 EST 2016, home_team=Brooklyn Nets, away_team=Minnesota Timberwolves, home_score=119, away_score=110, winner=Home]
GameInfo [date=Tue Nov 08 00:00:00 EST 2016, home_team=Memphis Grizzlies, away_team=Denver Nuggets, home_score=108, away_score=107, winner=Home]
GameInfo [date=Tue Nov 08 00:00:00 EST 2016, home_team=Portland Trail Blazers, away_team=Phoenix Suns, home_score=124, away_score=121, winner=Home]
GameInfo [date=Tue Nov 08 00:00:00 EST 2016, home_team=Los Angeles Lakers, away_team=Dallas Mavericks, home_score=97, away_score=109, winner=Away]
GameInfo [date=Tue Nov 08 00:00:00 EST 2016, home_team=Sacramento Kings, away_team=New Orleans Pelicans, home_score=102, away_score=94, winner=Home]
GameInfo [date=Wed Nov 09 00:00:00 EST 2016, home_team=New York Knicks, away_team=Brooklyn Nets, home_score=110, away_score=96, winner=Home]
GameInfo [date=Wed Nov 09 00:00:00 EST 2016, home_team=Washington Wizards, away_team=Boston Celtics, home_score=118, away_score=93, winner=Home]
GameInfo [date=Wed Nov 09 00:00:00 EST 2016, home_team=Charlotte Hornets, away_team=Utah Jazz, home_score=104, away_score=98, winner=Home]
GameInfo [date=Wed Nov 09 00:00:00 EST 2016, home_team=Orlando Magic, away_team=Minnesota Timberwolves, home_score=107, away_score=123, winner=Away]
GameInfo [date=Wed Nov 09 00:00:00 EST 2016, home_team=Indiana Pacers, away_team=Philadelphia 76ers, home_score=122, away_score=115, winner=Home]
